P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,Dist
6,99,54,58,14,67,18,10,9,4,44,31,64,97,93,98,56,29,84,60,34,40,35,74,70,17,83,25,61,94,87,43,15,36,1,57,39,85,73,37,53,41,16,30,8,79,20,95,81,77,92,32,22,91,68,89,82,12,75,23,19,27,52,21,49,50,71,13,66,65,48,5,63,3,96,55,69,38,42,100,78,72,7,47,90,46,76,33,86,59,88,2,24,26,80,28,51,62,45,11,16.1316455453104
9,39,4,66,12,75,23,19,27,50,59,93,8,25,37,18,24,2,73,26,61,88,94,82,71,65,36,1,15,97,79,83,41,58,30,6,34,35,40,33,86,76,7,72,45,11,55,62,47,46,74,70,60,96,3,84,48,21,5,80,56,98,89,100,16,91,92,99,32,22,68,54,14,67,53,49,52,90,51,69,77,78,38,42,17,81,28,63,29,13,57,20,95,43,87,64,31,44,85,10,13.9786166138514
72,56,59,63,76,60,70,74,46,19,23,75,12,66,13,44,24,10,9,85,39,4,57,65,27,52,90,21,15,1,36,71,82,43,87,94,29,5,49,50,95,20,48,84,33,86,40,35,38,42,83,61,73,25,89,100,58,14,41,8,97,93,98,81,77,92,99,91,54,68,22,32,55,11,64,31,88,79,17,51,62,28,80,47,7,96,3,34,67,53,18,2,26,37,78,30,16,6,69,45,15.0517219019149
43,87,94,31,97,85,2,73,18,26,25,76,60,33,86,45,89,41,14,58,22,91,32,6,34,40,35,96,3,7,72,62,51,28,80,56,36,65,23,75,12,66,93,100,54,68,16,47,46,74,70,59,44,4,95,13,57,20,39,9,10,24,79,17,11,55,78,67,53,37,61,88,64,29,49,50,1,15,19,52,90,5,84,63,98,30,99,92,77,69,38,81,42,83,8,48,21,27,71,82,16.3276657388553
70,74,45,77,78,100,89,41,58,54,68,16,30,69,11,3,96,28,80,47,63,84,5,48,21,90,46,76,72,62,51,17,97,95,20,57,13,75,12,66,49,29,98,93,64,31,94,88,61,26,37,53,67,14,83,79,39,4,71,82,43,87,50,27,19,1,15,36,65,23,52,59,56,81,38,6,92,99,32,22,91,55,34,40,35,60,33,86,44,85,9,10,24,2,18,73,25,8,42,7,13.395035069591
63,90,46,76,7,6,16,91,68,54,30,78,41,14,67,53,37,79,8,81,69,77,38,42,100,58,89,98,17,72,96,3,55,99,32,22,92,11,45,62,51,28,80,56,93,84,48,5,29,59,64,94,95,39,88,83,25,61,26,73,18,2,13,66,19,27,52,21,49,71,57,20,4,82,86,60,70,74,35,40,34,33,23,75,12,65,36,1,15,50,43,87,9,10,24,85,44,31,97,47,14.1514557160492
84,21,65,12,75,23,52,27,19,36,15,1,50,29,5,76,33,86,7,45,11,92,99,32,3,96,77,89,41,67,14,58,16,30,98,93,57,13,66,82,43,97,17,42,100,78,51,62,28,80,56,79,88,73,61,22,91,68,54,44,94,31,64,63,47,70,74,60,46,90,48,49,71,9,10,24,18,26,25,81,34,40,35,72,59,87,20,95,4,39,85,2,37,53,83,8,38,69,6,55,16.1724365653229
94,44,83,67,14,41,58,91,22,32,99,92,16,30,6,69,38,81,17,98,56,39,4,25,37,53,54,68,78,77,72,7,70,74,45,11,55,100,89,42,23,65,36,1,15,49,5,48,21,29,50,20,95,9,85,10,24,18,26,61,88,31,64,87,43,57,13,66,12,75,19,27,52,46,86,33,47,63,76,60,35,40,59,2,73,3,34,96,62,51,28,80,8,79,97,93,84,90,71,82,14.9429876735556
41,58,100,89,65,75,12,66,43,59,17,78,91,22,68,54,30,77,55,3,96,45,51,62,33,86,47,63,84,87,94,61,25,37,53,67,14,83,42,81,38,16,32,99,92,6,69,11,7,76,46,90,52,23,19,15,36,1,71,82,50,49,48,21,5,29,64,31,28,72,34,40,35,60,70,74,27,13,57,20,95,44,4,39,24,2,73,8,98,80,93,56,97,79,88,85,9,10,18,26,13.3769083767891
31,93,56,80,28,29,5,21,48,49,43,87,64,97,30,16,99,32,78,36,65,23,75,12,66,13,62,72,40,34,55,6,69,38,98,50,19,27,52,84,63,59,2,24,85,20,57,71,1,15,82,95,10,18,53,67,54,68,91,22,92,51,86,33,70,74,90,46,47,76,60,35,7,83,14,41,45,96,3,11,77,100,58,89,42,81,17,8,79,88,61,25,37,26,73,9,39,4,44,94,16.0029405640369
7,96,3,28,93,97,89,14,41,58,67,53,37,83,8,100,54,68,91,22,42,80,29,49,15,1,63,81,69,6,55,34,40,74,70,60,35,33,86,23,75,12,71,56,98,17,38,30,16,32,99,92,78,77,11,45,51,62,72,47,84,5,50,82,44,2,24,4,95,43,94,61,73,18,26,25,31,64,87,59,79,88,85,10,9,39,20,57,13,66,65,36,19,27,52,21,48,90,46,76,14.2832923553057
41,42,38,81,17,97,94,95,20,57,13,66,23,19,36,50,79,25,26,73,61,8,100,89,83,18,2,9,39,4,82,71,1,15,43,87,64,59,80,28,62,72,7,47,5,65,12,75,48,76,60,35,40,34,96,3,45,11,55,6,54,68,91,22,32,99,92,16,30,98,56,93,63,86,33,70,74,46,90,29,31,88,10,24,85,44,49,27,52,21,84,51,69,77,78,58,37,53,67,14,13.6288723562721
68,54,58,53,2,24,10,9,85,39,4,44,20,57,13,66,12,75,23,19,27,52,21,48,17,30,91,16,77,7,86,33,60,72,62,28,98,8,26,18,73,61,88,80,47,46,90,84,63,29,43,71,1,65,36,15,70,74,5,49,50,82,87,64,59,76,35,40,34,96,3,45,92,99,32,22,41,14,67,37,25,83,79,94,95,31,97,93,56,42,89,100,78,38,81,51,11,55,69,6,13.9948257930102
36,65,12,75,23,46,74,70,60,35,33,86,76,79,61,18,10,39,4,44,94,95,20,57,13,66,15,49,62,51,28,88,85,9,24,2,73,26,53,67,14,41,78,30,16,92,6,55,11,45,47,71,82,50,63,7,72,81,38,77,99,32,22,91,34,40,90,19,27,52,21,48,80,93,97,8,25,37,83,58,54,68,69,3,96,84,5,29,59,64,56,98,17,42,100,89,31,87,43,1,15.2329782737351
64,31,41,68,54,100,89,79,4,95,20,39,9,10,85,88,93,97,87,43,65,75,23,11,55,6,69,70,74,60,33,35,40,34,86,52,27,19,71,82,94,44,61,73,26,25,56,80,28,98,8,53,37,18,2,24,57,13,12,66,36,49,63,47,84,5,21,48,15,1,50,59,17,42,77,92,16,30,58,14,67,83,29,90,46,76,7,62,81,38,78,91,22,32,99,3,96,45,72,51,15.7205360151889
76,46,90,52,13,57,20,39,4,9,10,24,18,26,61,88,95,66,12,75,74,70,60,35,40,34,96,3,16,68,54,80,36,65,23,19,27,49,84,72,45,11,55,69,6,92,99,77,17,93,97,64,31,94,79,83,41,89,100,42,98,56,29,50,82,43,87,59,28,51,62,81,38,78,30,91,32,22,58,67,25,44,71,1,15,21,48,5,8,14,53,37,73,2,85,63,47,7,33,86,14.8788898444442
86,97,88,85,39,4,20,95,82,49,50,43,87,64,59,47,76,7,28,8,79,83,42,81,38,69,55,11,45,72,62,51,80,93,56,98,17,89,100,30,16,68,54,58,25,2,24,10,18,67,14,41,77,6,92,99,61,44,71,1,36,15,78,91,32,22,53,37,26,73,9,57,65,75,12,66,13,94,31,29,5,48,21,90,35,40,34,3,96,63,84,27,19,23,52,46,74,70,60,33,14.7862596844877
94,87,43,82,75,12,57,20,95,44,45,11,55,6,99,32,91,68,58,41,61,26,18,2,24,10,73,88,28,35,40,34,96,3,69,77,16,30,42,98,56,93,8,89,100,38,81,51,62,76,86,33,7,72,92,22,54,78,17,80,59,64,31,79,14,67,53,37,25,83,97,29,63,47,60,70,74,46,36,15,1,71,13,66,65,23,19,27,5,84,90,52,21,48,49,50,85,9,39,4,13.9049366411317
32,22,91,53,37,73,61,44,43,82,71,1,36,65,23,19,15,5,48,21,90,84,63,38,77,6,11,51,97,79,88,85,10,9,39,57,13,66,12,75,50,87,64,31,94,95,20,4,24,2,18,26,7,33,35,40,74,70,60,86,76,29,49,27,52,46,72,62,8,83,25,67,54,68,16,78,42,17,80,28,47,59,93,56,98,81,69,55,34,96,3,45,58,14,41,89,100,30,92,99,13.970379945391
32,22,91,16,30,38,19,15,1,50,64,31,87,49,48,46,76,70,74,60,35,40,34,72,9,10,24,85,41,6,69,3,96,7,47,63,84,5,90,86,33,81,17,98,52,27,65,75,23,21,62,45,11,55,51,28,80,29,71,13,57,4,88,61,25,53,37,73,26,83,97,43,82,66,12,36,59,93,56,68,54,14,67,18,2,58,78,100,89,39,20,95,94,44,79,8,42,77,92,99,16.7823571482541
69,38,17,8,97,80,86,33,96,3,45,72,62,51,28,59,94,44,4,95,57,19,23,75,12,65,13,20,39,85,9,10,24,2,18,73,26,61,88,29,49,21,52,27,50,31,64,87,43,82,71,66,36,15,1,11,55,77,78,25,37,53,67,14,83,79,63,84,5,48,90,46,76,7,81,42,89,100,58,41,98,56,93,47,70,74,60,35,40,34,16,30,92,99,32,22,91,68,54,6,13.0277419315351
79,83,8,98,97,85,10,24,2,18,9,95,20,12,75,23,52,74,40,35,46,21,65,66,13,57,50,48,90,70,60,7,41,67,14,53,25,37,26,73,61,36,19,27,49,29,59,93,56,80,17,42,77,6,69,55,11,64,82,71,1,15,63,28,51,62,45,72,84,5,43,87,31,81,38,92,99,22,68,54,58,100,89,78,91,32,16,30,96,3,34,33,86,76,47,94,4,39,44,88,15.1701586319202
21,48,5,47,7,96,3,62,51,98,79,8,30,16,6,72,33,60,74,70,76,44,85,9,39,4,95,43,87,97,93,56,63,84,46,90,52,15,1,88,25,37,26,73,61,92,99,32,22,91,58,67,53,18,2,24,10,86,35,40,34,55,78,41,14,83,31,82,50,29,17,89,100,68,54,42,80,71,13,66,12,57,20,94,64,59,28,45,11,69,77,38,81,49,36,75,65,23,19,27,16.2056045046809
5,48,21,76,33,40,34,72,59,64,31,94,82,71,50,49,63,47,42,100,89,41,83,25,73,61,81,11,35,60,70,74,15,36,1,66,65,52,90,46,84,29,43,87,20,57,13,12,75,23,19,27,28,38,78,30,16,92,6,55,3,96,86,7,45,62,51,17,98,56,80,93,97,88,85,9,10,24,2,39,4,95,44,79,8,68,91,99,32,22,58,18,26,37,53,67,14,54,77,69,14.7492551132699
21,52,19,36,15,1,50,59,80,56,8,25,83,41,6,69,77,89,100,54,68,22,58,14,67,53,61,13,66,12,75,65,23,27,48,5,63,47,28,81,38,16,30,78,42,93,29,49,84,35,40,34,96,3,99,91,32,92,62,72,45,11,55,51,17,98,97,64,31,44,4,20,95,43,87,94,10,24,2,18,73,26,37,79,88,85,9,39,57,82,71,70,74,60,33,86,7,76,46,90,13.7133779385394
16,30,67,18,10,9,85,24,2,61,79,8,17,98,80,84,90,46,70,74,35,40,34,3,64,87,94,44,88,97,62,72,47,63,28,38,78,54,68,58,26,73,4,39,13,66,12,65,36,59,89,100,14,53,37,25,83,41,42,81,96,60,33,86,7,56,93,31,43,50,27,19,75,23,52,76,45,11,55,51,29,49,1,71,82,95,20,57,15,21,48,5,69,6,77,92,99,32,22,91,15.3008179596367
72,90,21,48,5,29,43,82,71,1,36,23,19,15,50,59,47,7,33,86,76,49,65,75,12,66,13,57,20,95,44,88,54,68,22,91,14,67,37,53,38,77,30,58,41,89,100,78,6,55,40,35,60,70,74,46,52,27,84,63,69,92,99,32,16,61,73,2,18,26,25,83,79,8,42,17,81,51,62,3,34,96,28,31,4,39,85,24,10,9,94,87,64,97,93,56,98,80,11,45,14.0411648907939
76,70,74,60,33,86,38,78,100,42,93,56,98,77,6,92,99,32,22,91,68,54,80,59,31,94,9,10,85,97,28,72,3,96,7,84,49,15,36,75,23,19,27,52,90,46,35,40,34,69,81,17,8,79,61,88,44,57,13,66,12,65,20,95,64,87,43,82,71,1,21,48,5,29,89,41,14,67,53,25,83,51,62,45,11,55,16,30,58,37,26,73,18,2,24,39,4,50,63,47,14.1374430271776
95,4,44,88,8,42,69,6,55,11,72,63,84,21,52,27,48,49,59,64,31,87,43,50,15,36,1,71,82,29,5,90,46,51,92,99,25,73,2,24,10,9,85,39,20,57,13,66,12,65,75,23,19,74,70,60,35,34,40,96,3,45,62,28,98,80,7,33,86,76,47,93,97,79,61,18,26,37,53,83,89,91,32,22,68,54,58,67,14,41,100,78,30,16,77,38,81,17,56,94,12.6857554980364
38,77,30,99,92,35,40,34,3,96,78,100,67,53,85,9,10,24,2,18,14,89,42,17,28,7,76,86,33,46,90,52,36,71,95,4,39,88,73,26,41,58,54,68,32,22,91,16,97,31,94,1,15,50,64,8,83,25,37,61,79,98,55,6,69,11,45,60,74,70,21,48,44,20,57,13,82,43,87,49,5,47,72,62,51,29,65,66,12,75,23,19,27,84,63,59,93,56,80,81,14.6943162794522
12,66,65,36,1,15,29,97,8,17,98,59,71,13,57,20,95,94,64,31,4,88,79,83,25,67,14,41,78,77,69,55,11,6,16,30,92,99,54,68,22,32,91,58,53,37,61,73,26,18,39,87,43,50,49,48,90,5,82,44,9,10,24,2,85,81,51,62,47,46,74,70,76,7,38,42,89,100,45,40,35,60,86,33,34,3,96,72,28,80,56,93,63,84,21,52,27,19,23,75,13.1117078426634
89,34,40,35,84,29,43,87,59,51,96,3,11,55,16,99,92,6,45,62,72,7,86,28,80,56,93,79,83,41,78,77,69,42,8,25,26,73,18,2,24,4,94,44,81,38,30,22,91,32,17,98,97,64,82,71,66,12,75,23,19,15,1,36,65,13,57,20,95,39,9,10,85,63,47,76,33,60,70,74,46,90,52,27,21,48,5,49,50,31,88,61,37,53,67,14,58,54,68,100,13.6235494750524
55,11,45,76,86,33,7,72,62,51,92,99,30,89,41,25,37,73,44,31,97,79,8,83,61,88,87,43,71,1,36,15,50,29,64,94,95,20,39,24,2,18,26,53,67,14,3,96,35,40,34,69,78,16,32,22,91,42,17,98,56,80,63,84,21,48,5,49,19,23,27,52,47,28,100,54,68,58,93,59,82,4,85,10,9,57,13,66,12,75,65,90,46,74,70,60,81,38,77,6,14.2253809157055
38,78,68,54,98,59,5,48,21,49,50,82,95,94,31,87,64,93,17,42,89,100,16,99,92,8,79,88,61,91,22,32,30,29,27,36,1,15,84,63,7,34,3,96,72,81,83,25,53,37,26,73,2,24,18,67,14,41,58,77,6,69,55,11,45,62,51,56,97,44,4,39,85,10,9,20,57,13,66,12,65,71,43,80,28,40,35,46,52,23,75,19,90,86,33,60,74,70,76,47,15.0640667132201
21,48,5,49,50,29,93,81,38,78,68,54,8,79,65,75,23,84,7,96,3,45,51,42,83,24,10,9,20,1,15,27,19,36,71,82,95,44,61,25,89,100,30,16,91,22,32,99,92,33,86,47,80,56,98,17,11,55,69,6,77,41,53,37,26,73,18,2,85,39,4,57,13,12,66,88,67,14,58,34,40,35,60,72,62,28,97,31,94,43,87,64,59,63,76,70,74,46,90,52,15.0426456895484
63,84,59,97,8,83,25,37,61,85,39,20,95,94,64,89,78,55,72,33,60,70,74,90,71,13,66,12,65,19,27,77,30,91,22,32,99,92,45,3,96,34,40,35,7,31,44,88,79,93,28,51,62,11,16,68,54,58,41,14,87,43,50,29,86,76,46,52,23,75,36,1,15,21,5,48,49,82,57,4,9,10,24,73,2,18,26,53,67,100,6,69,38,81,42,17,98,56,80,47,14.4208344743269
6,77,78,100,89,17,8,25,53,67,14,83,79,97,80,28,7,72,45,62,51,81,37,26,18,73,61,44,94,87,43,31,64,93,56,11,55,69,92,99,68,54,58,41,4,95,20,66,12,75,23,21,76,33,86,47,59,88,2,24,10,9,85,39,65,36,15,1,71,82,57,13,19,52,74,70,46,90,48,5,38,16,32,91,22,30,42,98,29,50,27,49,84,63,60,35,40,34,96,3,14.4548538837321
63,5,12,75,23,52,48,90,84,59,73,18,2,24,10,9,85,97,56,98,42,100,89,83,39,4,94,87,43,28,72,62,51,45,11,77,78,91,22,32,99,92,30,58,8,79,44,88,25,53,67,41,14,37,26,61,95,20,57,1,36,15,21,46,74,70,60,86,33,7,76,47,27,19,65,66,13,71,82,31,64,50,49,29,93,54,68,16,6,55,34,40,35,96,3,69,38,81,17,80,13.8441421951858
8,89,100,42,17,59,29,15,1,66,12,75,65,36,5,28,78,30,16,22,32,99,92,91,68,54,58,14,67,41,55,11,45,51,3,96,34,40,35,74,70,60,72,62,7,33,86,76,44,4,39,43,71,82,9,18,26,79,56,80,63,84,21,52,27,23,19,50,87,64,31,94,95,20,57,13,49,48,90,46,47,97,25,37,53,77,6,69,38,81,98,93,88,85,10,24,2,73,61,83,13.500293966384
34,40,35,3,45,38,25,53,37,26,73,61,88,94,87,44,85,9,10,24,82,29,49,50,66,12,19,27,63,62,51,28,80,56,98,17,81,42,41,14,58,54,68,91,22,32,99,71,13,57,43,79,8,83,2,18,67,16,92,6,11,23,75,65,15,36,1,52,74,70,60,96,72,7,33,86,76,47,46,90,21,48,5,84,59,64,31,4,39,95,20,97,93,89,100,30,78,77,69,55,14.8744495910931
19,27,5,76,70,74,60,33,86,96,3,35,40,34,11,38,81,46,90,21,48,49,87,88,73,61,83,8,79,94,82,71,1,15,36,13,57,20,95,43,63,47,84,52,75,12,66,29,56,77,78,100,58,30,16,92,99,32,22,91,68,54,6,69,55,45,51,80,17,42,89,41,14,67,53,37,25,26,18,2,24,10,9,85,39,4,44,31,59,7,72,62,28,98,93,97,64,50,65,23,12.3774113515702
40,35,74,70,60,7,42,89,100,14,67,53,18,24,10,9,85,39,4,95,20,57,13,12,75,23,19,27,52,48,5,21,90,46,84,63,47,28,77,30,16,58,41,83,61,73,2,88,66,65,36,1,15,71,82,87,94,44,93,98,54,68,22,32,91,78,80,59,29,49,50,43,64,31,56,81,38,45,3,96,51,17,8,79,25,37,26,97,76,86,33,72,62,69,99,92,6,11,55,34,13.0797537165275
38,30,16,54,58,53,26,73,85,9,10,24,2,18,67,14,100,78,41,37,83,86,60,70,74,46,5,95,39,88,8,69,77,92,99,6,55,33,76,52,27,15,36,1,50,93,80,59,29,49,65,19,23,75,12,66,13,57,20,4,61,25,79,17,98,56,97,44,94,43,71,82,87,31,64,35,40,34,32,22,91,68,89,42,28,63,84,21,48,90,47,7,72,62,51,45,3,96,11,81,14.9125844021348
66,13,57,39,9,10,24,18,91,22,32,89,79,95,20,4,85,2,88,94,1,15,36,65,12,75,23,19,27,63,47,84,48,21,52,90,74,76,80,83,53,37,25,44,82,71,43,58,54,68,77,69,96,3,55,6,99,92,16,30,14,67,26,73,61,97,98,17,42,38,81,11,45,56,93,31,64,87,50,49,86,33,7,72,28,59,29,5,46,70,60,35,40,34,62,51,78,100,41,8,15.9116088110524
94,64,81,38,77,69,55,3,96,34,40,35,60,48,21,90,46,74,70,76,47,63,84,59,17,92,22,32,99,6,11,45,51,80,98,56,93,97,88,44,31,29,49,27,15,1,4,73,26,67,14,41,78,30,16,91,68,54,58,100,89,42,62,72,5,50,82,95,20,57,36,65,75,23,19,52,86,33,7,28,8,53,37,61,25,83,79,87,43,71,12,66,13,39,9,10,24,18,2,85,13.8437776313727
76,46,90,27,19,15,1,20,95,85,2,24,10,9,39,4,94,59,97,79,25,37,83,56,63,49,23,75,12,66,13,57,87,64,31,44,88,61,26,41,30,16,69,11,33,86,60,70,74,35,40,100,58,89,93,36,65,71,82,43,50,29,80,98,17,42,78,77,38,28,84,21,52,48,5,47,72,62,45,3,96,34,55,6,92,99,32,91,22,68,54,14,67,53,18,73,8,81,51,7,14.1211029534734
83,8,42,81,86,33,70,74,46,90,52,21,84,100,58,54,68,91,16,30,11,62,51,28,80,47,76,60,35,40,17,79,61,73,18,26,89,78,77,69,55,34,3,96,7,63,49,50,87,64,38,92,22,32,99,6,45,72,98,56,93,97,31,94,95,57,1,19,27,82,43,44,88,25,37,53,67,14,41,59,29,5,48,23,75,12,66,65,85,2,24,10,9,71,15,36,13,20,39,4,15.2090479508785
70,11,55,38,42,83,61,85,39,4,95,20,82,49,84,76,7,81,41,14,67,53,26,73,2,44,71,1,19,27,52,21,48,5,90,46,47,63,29,15,36,66,65,50,59,77,6,92,99,32,22,91,89,8,79,87,43,64,97,93,72,96,34,3,45,25,37,18,24,10,9,88,86,33,60,35,40,69,16,54,68,58,100,30,78,17,98,80,28,62,51,56,31,94,57,13,12,75,23,74,15.3083391565955
80,28,45,55,11,3,96,62,72,33,60,74,70,83,25,26,18,24,10,9,39,71,50,82,64,31,79,8,42,69,6,92,99,58,41,88,20,95,57,13,36,27,52,90,21,48,5,84,47,32,22,91,53,37,85,4,94,87,43,44,2,73,61,97,93,63,46,76,86,7,51,54,68,16,30,34,40,35,77,78,100,89,14,67,29,49,19,23,75,12,66,65,15,1,59,56,98,17,38,81,15.5816040003324
13,57,20,39,85,37,25,83,79,93,56,28,96,34,40,35,70,74,46,90,84,59,80,81,17,98,97,31,64,94,44,88,89,91,22,32,78,42,26,73,2,61,8,51,62,72,45,11,99,92,7,33,86,76,47,63,95,4,9,10,24,18,53,67,14,41,100,58,54,68,16,30,87,43,82,38,77,6,69,55,3,60,29,50,65,66,12,75,23,19,49,5,48,21,52,27,36,15,1,71,14.2813536633549
33,7,81,100,89,83,25,37,53,41,58,22,32,6,55,3,96,45,11,69,77,92,99,14,67,18,2,73,26,79,88,94,12,75,23,90,46,76,86,47,63,59,87,43,82,57,13,1,36,65,66,52,5,84,28,98,17,42,78,54,68,91,16,30,38,29,27,19,15,50,64,31,97,8,61,24,10,9,85,49,48,21,71,20,95,4,39,44,56,93,80,51,62,72,34,40,35,74,70,60,14.142305123632
5,29,59,97,8,83,41,58,54,68,91,22,32,30,78,17,31,87,82,95,20,57,13,71,49,21,27,52,65,66,12,36,15,43,94,81,38,77,6,69,45,7,76,46,90,19,23,75,1,50,64,14,67,53,37,26,18,9,39,4,73,61,25,79,3,96,34,40,35,60,74,70,72,42,89,100,16,99,92,55,11,33,86,44,85,10,24,2,88,93,56,98,51,62,28,80,47,63,84,48,14.1036682163731
97,61,73,2,24,9,10,18,37,53,67,14,89,100,42,17,98,80,59,87,94,44,31,64,93,56,69,6,92,77,38,81,8,83,25,26,85,39,4,95,13,66,7,96,3,34,40,35,63,29,1,36,75,12,57,20,88,79,41,58,54,68,91,22,32,99,16,30,78,51,62,72,70,74,60,33,86,76,47,84,48,19,23,65,15,27,52,21,90,46,5,49,50,71,82,43,28,45,11,55,13.089256539182
12,75,23,65,39,73,61,53,67,83,8,93,56,98,41,58,91,22,32,99,92,55,45,96,72,62,51,81,38,30,16,68,54,17,80,48,21,27,52,7,11,69,77,100,89,42,28,47,63,59,64,25,37,26,85,9,10,24,2,18,14,78,6,3,34,40,35,60,76,84,5,49,50,29,87,43,82,71,1,36,15,19,90,46,74,70,86,33,97,79,88,44,31,94,4,95,20,57,13,66,13.7938896333264
72,81,79,83,14,67,53,37,25,63,84,5,90,46,76,55,6,99,32,92,38,17,59,82,71,50,49,48,21,27,87,64,97,89,41,58,91,22,16,30,54,68,77,69,11,51,62,7,33,34,96,3,45,78,100,42,98,93,31,94,44,85,88,8,56,80,28,60,74,70,52,19,23,65,36,15,1,20,9,10,39,95,57,66,75,12,13,61,73,26,18,2,24,4,43,29,47,86,35,40,15.3016850879203
53,41,100,77,69,55,34,40,35,33,86,76,47,84,49,65,75,12,23,21,48,5,80,16,30,78,42,8,85,9,39,4,44,94,31,88,61,73,26,25,79,83,89,14,67,58,54,68,91,22,32,11,72,7,60,70,74,46,90,52,27,19,36,15,1,50,29,63,62,51,28,56,98,17,81,45,96,3,6,99,92,38,93,97,59,64,87,43,82,71,66,13,57,20,95,10,24,2,18,37,12.7907859657813
23,52,74,70,86,33,7,51,83,25,37,53,67,17,81,38,16,99,92,6,69,84,5,15,1,36,13,71,50,82,43,87,64,80,28,98,56,88,85,24,2,18,14,91,22,32,55,62,72,76,46,90,21,48,29,31,79,89,100,96,3,11,77,78,30,68,54,58,41,8,97,93,59,49,27,19,65,66,57,20,95,4,44,94,63,47,60,35,40,34,45,42,61,26,73,10,9,39,12,75,15.1691517575092
64,43,82,13,66,12,75,65,36,1,71,57,20,95,44,79,8,98,51,62,28,80,63,29,59,97,83,67,14,41,100,30,16,6,45,72,7,60,70,74,93,56,17,81,38,77,69,55,11,96,3,35,40,34,89,25,37,26,73,61,88,87,21,48,90,46,33,86,76,47,84,5,49,50,4,85,10,9,39,15,23,19,27,52,94,24,2,18,53,58,54,32,22,68,91,99,92,78,42,31,13.7579896082665
15,1,87,94,44,88,85,9,10,24,2,39,57,13,66,12,75,82,43,64,81,38,42,30,16,58,14,67,53,37,26,18,73,83,17,51,35,40,34,3,96,33,60,70,74,52,19,27,5,84,63,45,77,78,100,89,41,25,61,4,20,95,47,7,72,62,28,29,49,71,50,59,80,98,56,93,97,31,79,8,91,32,22,54,68,99,92,6,69,55,11,86,76,46,90,48,21,23,65,36,13.3650207322483
8,87,43,82,95,20,39,4,44,97,93,42,89,100,78,77,69,6,30,16,91,68,54,58,50,15,1,36,65,66,12,75,23,72,62,51,28,80,56,79,25,37,26,57,13,71,19,27,84,63,98,17,81,34,40,35,60,74,70,33,86,46,90,52,21,48,2,24,85,49,5,29,64,88,73,61,83,38,45,96,3,99,32,22,92,55,11,7,76,47,59,31,94,9,10,18,53,67,14,41,15.1001541622682
12,37,25,83,72,35,40,34,3,96,29,71,1,15,36,27,52,90,76,60,70,74,46,20,95,94,44,88,79,8,42,38,77,92,16,30,58,53,2,10,24,9,85,31,47,7,45,99,32,22,91,68,54,78,81,51,62,63,84,21,65,66,13,57,82,50,49,48,5,97,89,100,41,14,67,18,26,73,61,39,4,43,87,64,59,93,56,80,28,86,33,11,55,6,69,17,98,19,23,75,15.3325927833789
33,86,21,23,75,12,66,13,82,87,64,88,61,24,2,73,53,67,14,91,22,32,16,48,52,27,19,65,36,15,1,71,43,29,49,50,57,20,95,44,79,41,58,54,68,30,78,38,81,63,84,5,90,46,70,74,60,76,47,59,97,93,56,80,72,62,51,28,98,31,94,4,39,85,9,10,18,26,37,25,83,8,17,42,89,100,77,11,96,35,40,34,3,55,6,99,92,69,45,7,13.1232922750673
80,56,97,31,82,49,48,21,90,47,86,33,60,70,74,46,52,23,75,19,76,35,40,34,7,29,36,65,12,71,4,88,83,79,44,94,43,87,64,28,51,62,45,11,69,77,78,100,89,42,93,63,84,5,27,15,1,50,59,98,92,99,73,18,2,24,10,9,39,95,66,13,57,20,85,61,25,41,58,54,68,22,32,91,14,67,53,37,26,8,17,81,38,30,16,6,55,3,96,72,14.6822864379519
50,94,44,88,8,56,80,28,51,92,99,32,22,91,68,54,58,16,30,6,34,40,35,74,60,96,3,55,11,45,62,72,7,76,46,52,27,19,1,71,82,57,20,95,43,87,29,5,84,63,4,39,79,83,14,41,42,17,98,97,31,64,93,38,69,77,78,100,89,81,49,36,65,13,25,67,53,26,18,2,73,37,61,24,10,9,85,59,47,33,86,70,90,48,21,23,75,12,66,15,13.8202307534891
64,31,28,62,51,83,67,14,41,89,100,92,99,32,22,91,68,54,77,98,56,93,97,42,78,30,16,58,53,37,26,25,88,44,94,95,4,39,9,85,79,8,38,81,17,80,5,48,21,84,72,45,11,3,96,90,52,27,49,29,59,69,6,55,34,40,35,60,46,13,57,20,10,24,2,18,73,61,63,76,74,70,33,86,7,47,50,15,36,1,82,71,65,66,12,75,23,19,43,87,13.8870328568016
